Tanggal,Jumlah Penonton,,,,,,
02-05-2025,8.127.009,,,,,,
03-05-2025,8.294.207,,,,,,
04-05-2025,8.489.638,,,,,,
05-05-2025,8.689.676,,,,,,
06-05-2025,8.776.400,,,,,,
07-05-2025,8.844.724,,,,,,
08-05-2025,8.906.224,,,,,,
09-05-2025,8.957.462,,,,,,
10-05-2025,9.014.021,,,,,,
11-05-2025,9.127.865,,,,,,
12-05-2025,9.293.830,,,,,,
13-05-2025,9.474.665,,,,,,
14-05-2025,9.568.290,,,,,,
15-05-2025,9.604.512,,,,,,
16-05-2025,9.630.188,,,,,,
17-05-2025,9.655.610,,,,,,
18-05-2025,9.712.344,,,,,,
19-05-2025,9.777.989,,,,,,
20-05-2025,9.803.918,,,,,,
21-05-2025,9.826.272,,,,,,
22-05-2025,9.844.075,,,,,,
23-05-2025,9.856.163,,,,,,
25-05-2025,9.897.319,,,,,,
26-05-2025,9.929.659,,,,,,
27-05-2025,9.941.441,,,,,, 
28-05-2025,9.956.830,,,,,,
29-05-2025,9.972.198,,,,,,